Title,First name,Last name,Gender,Date of birth,Marital status,Email,Phone number,Building,Street,City,County,Country,Postcode,Join date,Join with,Previous P45 taxcode,Previous P45 leftdate,Previous P45 period,Previous P45 totalpay,Previous P45 totaltax,Join statement without P45 (Value should be:- First Job/Only Job/Other Job ),Pension statement,Pension occupation amount,Pension paid to civil partner,Secondment statement,European economic area,EPM6 modified scheme,NI number,NI category,Taxcode,W1M1 basis,Pay frequency,Gross pay,Payment mode,Bank name,Sort code,Account number,Off payroll worker,Non individual,Director,Dir NI method,Dir appointment date,Dir resigne date,Student loan,Student loan start,Student loan plan,Postgraduate loan,Postgraduate loan date,Leaving date
,Zack,Kennedy,Male,1970-08-17,Notset,,,26 Town Lane,Town Lane,SOUTH END,,United Kingdom,LU7 1TG,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB654321C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Yusuf,Grant,Male,1976-06-22,Notset,,,49 West Lane,DARGUES,DARGUES,,United Kingdom,NE19 7GP,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB654321C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Zak,Wood,Male,1948-05-03,Notset,,,50,Thames Street,BOLD HEATH,,United Kingdom,WA8 9GD,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB345678C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Torin,Christie,Male,2006-10-26,Notset,,,88,Walwyn Rd,CHARLTON,,United Kingdom,NE48 4HF,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Ty,Dickson,Male,1952-10-30,Notset,,,48,Main St,ACHAGLASS,,United Kingdom,PA29 2XN,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,C,1257L,No,Monthly,0.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Tom,Shaw,Male,1981-02-02,Notset,,,33,Bridge Street,GOLDTHORPE,,United Kingdom,S63 8NB,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Theodore,Brown,Male,1942-09-17,Notset,,,63,Thornton St,HURDSFIELD,,United Kingdom,SK10 0HT,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Vincent,Grant,Male,1955-06-03,Notset,,,17 Fosse Way,Fosse Way,ARDTROSTAN,,United Kingdom,PH6 7QE,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Warren,McKay,Male,1950-07-16,Notset,,,52,Ockham Road,EAST MORDEN,,United Kingdom,BH20 4EX,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Torin,McMillan,Male,1953-06-24,Notset,,,59,Berkeley Rd,STOWUPLAND,,United Kingdom,IP14 3ND,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Tyler,Paterson,Male,1998-01-06,Notset,,,82 Caerfai Bay Road,Caerfai Bay Road,THE BIRKS,,United Kingdom,AB32 7NU,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Zack,Docherty,Male,1986-07-20,Notset,,,84,Town Lane,SOUTH GORLEY,,United Kingdom,SP6 4QY,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
